Year,month,value,var,district
1901,4,13.6,Tmax,East_Anglia
1902,4,12.4,Tmax,East_Anglia
1903,4,10.6,Tmax,East_Anglia
1904,4,13.6,Tmax,East_Anglia
1905,4,11.2,Tmax,East_Anglia
1906,4,12.5,Tmax,East_Anglia
1907,4,12.0,Tmax,East_Anglia
1908,4,9.8,Tmax,East_Anglia
1909,4,14.6,Tmax,East_Anglia
1910,4,12.0,Tmax,East_Anglia
1911,4,12.2,Tmax,East_Anglia
1912,4,14.1,Tmax,East_Anglia
1913,4,12.0,Tmax,East_Anglia
1914,4,15.1,Tmax,East_Anglia
1915,4,12.4,Tmax,East_Anglia
1916,4,13.5,Tmax,East_Anglia
1917,4,9.5,Tmax,East_Anglia
1918,4,10.0,Tmax,East_Anglia
1919,4,11.6,Tmax,East_Anglia
1920,4,12.3,Tmax,East_Anglia
1921,4,13.4,Tmax,East_Anglia
1922,4,10.0,Tmax,East_Anglia
1923,4,11.9,Tmax,East_Anglia
1924,4,11.9,Tmax,East_Anglia
1925,4,12.0,Tmax,East_Anglia
1926,4,13.8,Tmax,East_Anglia
1927,4,12.8,Tmax,East_Anglia
1928,4,12.2,Tmax,East_Anglia
1929,4,10.7,Tmax,East_Anglia
1930,4,11.9,Tmax,East_Anglia
1931,4,11.9,Tmax,East_Anglia
1932,4,11.1,Tmax,East_Anglia
1933,4,14.1,Tmax,East_Anglia
1934,4,12.5,Tmax,East_Anglia
1935,4,12.0,Tmax,East_Anglia
1936,4,10.4,Tmax,East_Anglia
1937,4,12.2,Tmax,East_Anglia
1938,4,12.2,Tmax,East_Anglia
1939,4,13.5,Tmax,East_Anglia
1940,4,12.9,Tmax,East_Anglia
1941,4,10.6,Tmax,East_Anglia
1942,4,13.5,Tmax,East_Anglia
1943,4,16.3,Tmax,East_Anglia
1944,4,14.7,Tmax,East_Anglia
1945,4,15.1,Tmax,East_Anglia
1946,4,15.6,Tmax,East_Anglia
1947,4,13.5,Tmax,East_Anglia
1948,4,14.4,Tmax,East_Anglia
1949,4,15.6,Tmax,East_Anglia
1950,4,12.1,Tmax,East_Anglia
1951,4,11.5,Tmax,East_Anglia
1952,4,14.6,Tmax,East_Anglia
1953,4,11.9,Tmax,East_Anglia
1954,4,11.9,Tmax,East_Anglia
1955,4,14.1,Tmax,East_Anglia
1956,4,10.7,Tmax,East_Anglia
1957,4,12.8,Tmax,East_Anglia
1958,4,11.4,Tmax,East_Anglia
1959,4,14.0,Tmax,East_Anglia
1960,4,13.3,Tmax,East_Anglia
1961,4,14.3,Tmax,East_Anglia
1962,4,11.7,Tmax,East_Anglia
1963,4,12.6,Tmax,East_Anglia
1964,4,12.6,Tmax,East_Anglia
1965,4,12.4,Tmax,East_Anglia
1966,4,11.2,Tmax,East_Anglia
1967,4,11.5,Tmax,East_Anglia
1968,4,13.2,Tmax,East_Anglia
1969,4,12.5,Tmax,East_Anglia
1970,4,10.5,Tmax,East_Anglia
1971,4,11.1,Tmax,East_Anglia
1972,4,11.9,Tmax,East_Anglia
1973,4,11.4,Tmax,East_Anglia
1974,4,12.2,Tmax,East_Anglia
1975,4,12.1,Tmax,East_Anglia
1976,4,12.4,Tmax,East_Anglia
1977,4,11.6,Tmax,East_Anglia
1978,4,9.8,Tmax,East_Anglia
1979,4,11.8,Tmax,East_Anglia
1980,4,12.8,Tmax,East_Anglia
1981,4,11.3,Tmax,East_Anglia
1982,4,12.8,Tmax,East_Anglia
1983,4,11.4,Tmax,East_Anglia
1984,4,12.8,Tmax,East_Anglia
1985,4,12.8,Tmax,East_Anglia
1986,4,9.9,Tmax,East_Anglia
1987,4,14.8,Tmax,East_Anglia
1988,4,12.3,Tmax,East_Anglia
1989,4,10.3,Tmax,East_Anglia
1990,4,13.4,Tmax,East_Anglia
1991,4,12.3,Tmax,East_Anglia
1992,4,13.1,Tmax,East_Anglia
1993,4,13.6,Tmax,East_Anglia
1994,4,12.4,Tmax,East_Anglia
1995,4,13.6,Tmax,East_Anglia
1996,4,13.4,Tmax,East_Anglia
1997,4,13.5,Tmax,East_Anglia
1998,4,12.0,Tmax,East_Anglia
1999,4,14.0,Tmax,East_Anglia
2000,4,12.5,Tmax,East_Anglia
2001,4,11.9,Tmax,East_Anglia
2002,4,14.4,Tmax,East_Anglia
2003,4,14.6,Tmax,East_Anglia
2004,4,14.2,Tmax,East_Anglia
2005,4,13.9,Tmax,East_Anglia
2006,4,13.1,Tmax,East_Anglia
2007,4,16.9,Tmax,East_Anglia
2008,4,12.9,Tmax,East_Anglia
2009,4,15.3,Tmax,East_Anglia
2010,4,14.4,Tmax,East_Anglia
2011,4,17.9,Tmax,East_Anglia
2012,4,11.9,Tmax,East_Anglia
2013,4,12.7,Tmax,East_Anglia
2014,4,15.2,Tmax,East_Anglia
2015,4,14.4,Tmax,East_Anglia
2016,4,12.3,Tmax,East_Anglia
2017,4,14.2,Tmax,East_Anglia
2018,4,14.3,Tmax,East_Anglia
2019,4,14.1,Tmax,East_Anglia
2020,4,16.1,Tmax,East_Anglia
2021,4,11.3,Tmax,East_Anglia
2022,4,14.3,Tmax,East_Anglia
2023,4,13.3,Tmax,East_Anglia
2024,4,14.1,Tmax,East_Anglia
2025,4,16.3,Tmax,East_Anglia
2026,4,16.2,Tmax,East_Anglia
1884,5,17.0,Tmax,East_Anglia
1885,5,13.6,Tmax,East_Anglia
1886,5,15.7,Tmax,East_Anglia
1887,5,13.2,Tmax,East_Anglia
1888,5,15.9,Tmax,East_Anglia
1889,5,17.3,Tmax,East_Anglia
1890,5,17.0,Tmax,East_Anglia
1891,5,14.1,Tmax,East_Anglia
1892,5,17.1,Tmax,East_Anglia
1893,5,18.3,Tmax,East_Anglia
1894,5,14.0,Tmax,East_Anglia
1895,5,17.6,Tmax,East_Anglia
1896,5,16.4,Tmax,East_Anglia
1897,5,15.0,Tmax,East_Anglia
1898,5,14.4,Tmax,East_Anglia
1899,5,14.9,Tmax,East_Anglia
1900,5,15.1,Tmax,East_Anglia
1901,5,16.5,Tmax,East_Anglia
1902,5,13.4,Tmax,East_Anglia
1903,5,16.0,Tmax,East_Anglia
1904,5,15.7,Tmax,East_Anglia
1905,5,16.0,Tmax,East_Anglia
1906,5,15.6,Tmax,East_Anglia
1907,5,15.4,Tmax,East_Anglia
1908,5,17.6,Tmax,East_Anglia
1909,5,16.4,Tmax,East_Anglia
1910,5,15.8,Tmax,East_Anglia
1911,5,17.9,Tmax,East_Anglia
1912,5,17.6,Tmax,East_Anglia
1913,5,17.2,Tmax,East_Anglia
1914,5,16.1,Tmax,East_Anglia
1915,5,15.8,Tmax,East_Anglia
1916,5,17.3,Tmax,East_Anglia
1917,5,18.7,Tmax,East_Anglia
1918,5,18.0,Tmax,East_Anglia
1919,5,18.6,Tmax,East_Anglia
1920,5,17.6,Tmax,East_Anglia
1921,5,17.4,Tmax,East_Anglia
1922,5,19.1,Tmax,East_Anglia
1923,5,14.6,Tmax,East_Anglia
1924,5,16.9,Tmax,East_Anglia
1925,5,17.2,Tmax,East_Anglia
1926,5,14.6,Tmax,East_Anglia
1927,5,16.4,Tmax,East_Anglia
1928,5,14.9,Tmax,East_Anglia
1929,5,16.3,Tmax,East_Anglia
1930,5,15.4,Tmax,East_Anglia
1931,5,16.3,Tmax,East_Anglia
1932,5,14.9,Tmax,East_Anglia
1933,5,16.6,Tmax,East_Anglia
1934,5,16.9,Tmax,East_Anglia
1935,5,14.7,Tmax,East_Anglia
1936,5,15.9,Tmax,East_Anglia
1937,5,16.7,Tmax,East_Anglia
1938,5,15.3,Tmax,East_Anglia
1939,5,15.8,Tmax,East_Anglia
1940,5,18.2,Tmax,East_Anglia
1941,5,13.7,Tmax,East_Anglia
1942,5,16.5,Tmax,East_Anglia
1943,5,18.2,Tmax,East_Anglia
1944,5,17.1,Tmax,East_Anglia
1945,5,18.0,Tmax,East_Anglia
1946,5,15.1,Tmax,East_Anglia
1947,5,19.5,Tmax,East_Anglia
1948,5,16.4,Tmax,East_Anglia
1949,5,15.7,Tmax,East_Anglia
1950,5,15.2,Tmax,East_Anglia
1951,5,14.3,Tmax,East_Anglia
1952,5,18.2,Tmax,East_Anglia
1953,5,17.3,Tmax,East_Anglia
1954,5,15.9,Tmax,East_Anglia
1955,5,14.4,Tmax,East_Anglia
1956,5,18.1,Tmax,East_Anglia
1957,5,14.9,Tmax,East_Anglia
1958,5,16.5,Tmax,East_Anglia
1959,5,16.9,Tmax,East_Anglia
1960,5,17.4,Tmax,East_Anglia
1961,5,15.6,Tmax,East_Anglia
1962,5,14.2,Tmax,East_Anglia
1963,5,15.2,Tmax,East_Anglia
1964,5,18.7,Tmax,East_Anglia
1965,5,16.1,Tmax,East_Anglia
1966,5,16.1,Tmax,East_Anglia
1967,5,15.3,Tmax,East_Anglia
1968,5,14.5,Tmax,East_Anglia
1969,5,16.1,Tmax,East_Anglia
1970,5,18.1,Tmax,East_Anglia
1971,5,16.8,Tmax,East_Anglia
1972,5,15.4,Tmax,East_Anglia
1973,5,16.1,Tmax,East_Anglia
1974,5,16.1,Tmax,East_Anglia
